Name,Latitude,Longitude,Info,isvisited
Anadoluhisarı,41.081944,29.066944,"<b><a href='https://en.wikipedia.org/wiki/Anadoluhisarı'target='_blank'>Anadoluhisarı</a></b><br>Anadoluhisarı (English: Anatolian Castle), known historically as Güzelce Hisar (""the Beauteous Castle""[1]) is a medieval fortress located in Istanbul, Turkey on the Anatolian (Asian) side of the Bosporus. The complex is the oldest surviving Turkish architectural structure built in Istanbul, and further gives its name to the neighborhood around it in the city's Beykoz district.
",FALSE
Basilica Cistern,41.00806,28.97778,"<b><a href='https://en.wikipedia.org/wiki/Basilica_Cistern'target='_blank'>Basilica Cistern</a></b><br>The Basilica Cistern (Turkish: Yerebatan Sarnıcı – ""Cistern Sinking Into Ground""), is the largest of several hundred ancient cisterns that lie beneath the city of Istanbul (formerly Constantinople), Turkey. The cistern, located 150 metres (490 ft) southwest of the Hagia Sophia on the historical peninsula of Sarayburnu, was built in the 6th century during the reign of Byzantine Emperor Justinian I.[1]",FALSE
Basketmakers Kiosk,41.01639,28.98111,"<b><a href='https://en.wikipedia.org/wiki/Basketmakers%27_Kiosk'target='_blank'>Basketmakers Kiosk</a></b><br>The Basketmakers' Kiosk (Turkish: Sepetçiler Köşkü), also known as Sepetçiler Palace (Sepetçiler Kasrı), is a former Ottoman pleasure palace located on the southern shore of Golden Horn's mouth at Sarayburnu in the neighborhood of Sirkeci in Istanbul, Turkey.[1]",FALSE
Beyazıt Square,41.01056,28.96444,"<b><a href='https://en.wikipedia.org/wiki/Beyazıt_Square'target='_blank'>Beyazıt Square</a></b><br>Beyazıt Square (Turkish: Beyazıt Meydanı) is a square in the district of Fatih, situated in the European part of Istanbul, Turkey. It is officially named Freedom Square (Hürriyet Meydanı), but is known as Beyazıt Square after the Bayezid II Mosque on one side of it. The Square is the former site of the Forum of Theodosius built by Constantine the Great. On one side of the square is the main entrance of Istanbul University; the Beyazıt Tower is on the university's campus and can be seen from the square. The current form of the square was designed by Turgut Cansever.
",FALSE
Beyazıt Tower,41.0128,28.9649,"<b><a href='https://en.wikipedia.org/wiki/Beyazıt_Tower'target='_blank'>Beyazıt Tower</a></b><br>Beyazıt Tower, also named Seraskier Tower, from the name of the Ottoman ministry of War, is an 85-metre-tall (279 ft) fire-watch tower located in the courtyard of Istanbul University's main campus (formerly Ottoman Ministry of War) on Beyazıt Square (known as the Forum Tauri in the Roman period) in Istanbul, Turkey, on top of one of the ""seven hills"" which Constantine the Great had built the city, following the model of Rome.
",FALSE
Blue Mosque,41.0053851,28.9768247,"<b><a href='https://en.wikipedia.org/wiki/Sultan_Ahmed_Mosque'target='_blank'>Blue Mosque</a></b><br>The Sultan Ahmed Mosque (Turkish: Sultan Ahmet Camii) is a historic mosque located in Istanbul, Turkey. A popular tourist site, the Sultan Ahmed Mosque continues to function as a mosque today; men still kneel in prayer on the mosque's lush red carpet after the call to prayer. The Blue Mosque, as it is popularly known, was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed's tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes.[2] It sits next to the Hagia Sophia, another popular tourist site.
",FALSE
Cathedral of the Holy Spirit Istanbul,41.04472,28.98556,"<b><a href='https://en.wikipedia.org/wiki/Cathedral_of_the_Holy_Spirit'target='_blank'>Cathedral of the Holy Spirit Istanbul</a></b><br>The Cathedral of the Holy Spirit, alternatively known as the St. Esprit Cathedral (Turkish: Saint Esprit Kilisesi), located on Cumhuriyet Avenue, 205/B, in the quarter of Pangaltı in Şişli district,[1] the former Harbiye, between Taksim Square and Nişantaşı, is one of the principal Catholic churches in Istanbul, Turkey.[2]",FALSE
Church of St Anthony of Padua Istanbul,41.0325,28.9764,"<b><a href='https://en.wikipedia.org/wiki/Church_of_St._Anthony_of_Padua,_Istanbul'target='_blank'>Church of St Anthony of Padua Istanbul</a></b><br>St. Anthony of Padua Church, alternatively known as the Sent Antuan Bazilikası or Sant'Antonio di Padova Church, S. Antonio di Padova, St. Antoine, or locally as Sent Antuan, is a basilica and the largest church of the Roman Catholic Church in Istanbul, Turkey. It is located at İstiklal Avenue No. 171 in the Beyoğlu district.
",FALSE
Church of St George of Samatya,41.00188,28.93302,"<b><a href='https://en.wikipedia.org/wiki/Church_of_St._George_of_Samatya'target='_blank'>Church of St George of Samatya</a></b><br>Saint George of Samatya or Surp Kevork (Armenian: Սամաթիոյ Սուրբ Գէորգ Եկեղեցի; Turkish name: Sulu Manastır, meaning: ""Water Monastery"") is an Armenian church in Istanbul.
",FALSE
"Church of St Mary Draperis, Istanbul",41.03023,28.97572,"<b><a href='https://en.wikipedia.org/wiki/Church_of_St._Mary_Draperis,_Istanbul'target='_blank'>Church of St Mary Draperis, Istanbul</a></b><br>Saint Mary Draperis (Italian: Santa Maria Draperis, Turkish: Meryem Ana Draperis Latin Katolik Kilisesi) is a Roman Catholic Church in Istanbul, important for historical reasons. Established in 1584, the church is one of the most ancient Roman Catholic parishes of Istanbul.
",FALSE
