"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"28","NY","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Not too closely","Favor","Yes","Yes","No","No",NA,NA,"No",NA,"Full-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"33","NE","Very happy","Not important","One of the most important things","One of the most important things","Very important but not the most","Very important but not the most","Not important","One of the most important things","One of the most important things","Yes","About once a day",NA,NA,"Very closely","Strongly favor","Yes","No","No","No",NA,NA,"Yes","1","Part-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"45","IN","Pretty happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","Very important but not the most","Yes","About once a day","15",NA,"Fairly closely","Favor","Yes","Yes","Yes","No","Yes","No","No",NA,"Not employed","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"66","IN","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Strongly oppose","Yes","Yes","Yes","No",NA,NA,"No",NA,"Part-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"52","VA","Very happy","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","58",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with both current spouse and someone else",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","MD","Very happy","Somewhat important","One of the most important things","One of the most important things","Very important but not the most","Somewhat important","Not important","(VOL) Don't know/Refused","Very important but not the most","Yes","About once a day",NA,NA,"Very closely","Favor","Yes","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"60","PA","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"54","NC","Not too happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Fairly closely","Oppose","No","No","No",NA,NA,"No","Yes","1","Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"48","FL","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","1",NA,"Very closely","Favor","Yes","Yes","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"48","MO","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Somewhat important","Yes","Once a week","1",NA,"Fairly closely","Strongly favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"63","SD","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Very closely","Strongly oppose","No","No","Yes","No","No","No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"44","MA","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Less often",NA,NA,"Fairly closely","Favor","Yes","No","No","No",NA,"Yes","No",NA,"Not employed","Lived with current spouse before married",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"83","TN","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Fairly closely","Oppose","No","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"53","VA","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Once a week",NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","No","No",NA,"Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"83","MI","Not too happy","Not important","One of the most important things","One of the most important things","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Not important","Very important but not the most","(VOL) Don't know/Refused",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","(VOL) Don't know/Refused",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"48","IA","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","One of the most important things","Not important","Not important","Somewhat important","Not important","No",NA,"0",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","No","No","No",NA,"Part-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"54","SC","Very happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Oppose","Yes","No","Yes","No",NA,"No","No",NA,"Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"78","TX","Very happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","Yes",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
